Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,creep_life
1040,160,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.225374395,0.026622073,0.029155647,0.041159032,0.013595308,0.010781016,0,0,0.001549282,0.0071068,0,0.463286544,0.110023334,0.012283286,0.017410949,0.005076322,0.002053632,0,0,0.025619059,0.006013291,0,326
1040,180,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.225374395,0.026622073,0.029155647,0.041159032,0.013595308,0.010781016,0,0,0.001549282,0.0071068,0,0.463286544,0.110023334,0.012283286,0.017410949,0.005076322,0.002053632,0,0,0.025619059,0.006013291,0,127.5
980,260,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.186886317,0.019176125,0.026702287,0.037259695,0.011347136,0.00860981,0,0,0.000858012,0.006050618,0,0.500952642,0.117465522,0.013897271,0.019665296,0.005788798,0.001703402,0,0,0.026305796,0.006661273,0,190
980,200,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.186886317,0.019176125,0.026702287,0.037259695,0.011347136,0.00860981,0,0,0.000858012,0.006050618,0,0.500952642,0.117465522,0.013897271,0.019665296,0.005788798,0.001703402,0,0,0.026305796,0.006661273,0,644
800,750,65.8,6,4,5,3,4.2,0,0,8,4,0,0,0,0,0,0,0,0.100092515,0.005983593,0.018100566,0.023029262,0.004468174,0.003784562,0,0,0.000133854,0.003757473,0,0.583406485,0.13066059,0.01888759,0.026559992,0.007522008,0.000884773,0,0,0.027033765,0.008925104,0,27
760,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.034096135,0.001648447,0.003812127,0.00712957,0.002178716,0,0,0,5.56E-05,0.001199372,0,0.661809201,0.132279266,0.03580194,0.036625577,0.026968522,0,0,0,0.024906803,0.011865339,0,354
780,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.040586295,0.002099447,0.004508254,0.008488492,0.002899579,0,0,0,7.33E-05,0.001415249,0,0.656035378,0.131826406,0.035105293,0.035694117,0.027211915,0,0,0,0.024892301,0.011654591,0,138
800,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.04868431,0.002693798,0.005377437,0.010153994,0.003878866,0,0,0,9.65E-05,0.00168435,0,0.648790971,0.131234647,0.034243926,0.034570339,0.027355704,0,0,0,0.0248665,0.011383846,0,79
800,760,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.04868431,0.002693798,0.005377437,0.010153994,0.003878866,0,0,0,9.65E-05,0.00168435,0,0.648790971,0.131234647,0.034243926,0.034570339,0.027355704,0,0,0,0.0248665,0.011383846,0,280
800,780,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.04868431,0.002693798,0.005377437,0.010153994,0.003878866,0,0,0,9.65E-05,0.00168435,0,0.648790971,0.131234647,0.034243926,0.034570339,0.027355704,0,0,0,0.0248665,0.011383846,0,165
800,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.04868431,0.002693798,0.005377437,0.010153994,0.003878866,0,0,0,9.65E-05,0.00168435,0,0.648790971,0.131234647,0.034243926,0.034570339,0.027355704,0,0,0,0.0248665,0.011383846,0,79
1040,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.228852103,0.026385659,0.024860417,0.031981674,0.025254697,0,0,0,0.001808848,0.006716601,0,0.473564653,0.107540616,0.014992889,0.016085303,0.012409036,0,0,0,0.023156556,0.006384406,0,556
1070,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.252755875,0.03109768,0.026110674,0.033221424,0.026493706,0,0,0,0.002396797,0.007163844,0,0.449666129,0.102828894,0.013743626,0.014848579,0.01117368,0,0,0,0.022564626,0.005940673,0,239
1080,137,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.261339534,0.032827826,0.026525916,0.033637568,0.026897537,0,0,0,0.002632641,0.007318978,0,0.441077914,0.101094561,0.01332707,0.014435122,0.010770026,0,0,0,0.022331518,0.00578379,0,165
1070,147,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.252755875,0.03109768,0.026110674,0.033221424,0.026493706,0,0,0,0.002396797,0.007163844,0,0.449666129,0.102828894,0.013743626,0.014848579,0.01117368,0,0,0,0.022564626,0.005940673,0,180
1070,160,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.252755875,0.03109768,0.026110674,0.033221424,0.026493706,0,0,0,0.002396797,0.007163844,0,0.449666129,0.102828894,0.013743626,0.014848579,0.01117368,0,0,0,0.022564626,0.005940673,0,110
